generation=360, runtime=2257.07s, best_objective=1455571.107500, note=checkpoint
generation=361, runtime=2263.20s, best_objective=1455571.107500, note=checkpoint
generation=362, runtime=2269.60s, best_objective=1455571.107500, note=checkpoint
generation=363, runtime=2276.28s, best_objective=1455571.107500, note=checkpoint
generation=364, runtime=2282.80s, best_objective=1455571.107500, note=checkpoint
generation=365, runtime=2289.23s, best_objective=1455571.107500, note=checkpoint
generation=366, runtime=2295.07s, best_objective=1455571.107500, note=checkpoint
generation=367, runtime=2301.32s, best_objective=1455571.107500, note=checkpoint
generation=368, runtime=2307.24s, best_objective=1455571.107500, note=checkpoint
generation=369, runtime=2313.10s, best_objective=1455571.107500, note=checkpoint
generation=370, runtime=2319.31s, best_objective=1455571.107500, note=checkpoint
generation=371, runtime=2325.77s, best_objective=1455571.107500, note=checkpoint
generation=372, runtime=2332.18s, best_objective=1455571.107500, note=checkpoint
generation=373, runtime=2338.56s, best_objective=1455571.107500, note=checkpoint
generation=374, runtime=2344.84s, best_objective=1455571.107500, note=checkpoint
generation=375, runtime=2351.10s, best_objective=1455571.107500, note=checkpoint
generation=376, runtime=2357.35s, best_objective=1455571.107500, note=checkpoint
generation=377, runtime=2363.69s, best_objective=1455571.107500, note=checkpoint
generation=378, runtime=2370.40s, best_objective=1455571.107500, note=checkpoint
generation=379, runtime=2377.02s, best_objective=1455571.107500, note=checkpoint
generation=380, runtime=2383.41s, best_objective=1455571.107500, note=checkpoint
generation=381, runtime=2389.68s, best_objective=1455571.107500, note=checkpoint
generation=382, runtime=2396.04s, best_objective=1455571.107500, note=checkpoint
generation=383, runtime=2402.27s, best_objective=1455571.107500, note=checkpoint
generation=384, runtime=2408.70s, best_objective=1455571.107500, note=checkpoint
generation=385, runtime=2414.97s, best_objective=1455571.107500, note=checkpoint
generation=386, runtime=2421.98s, best_objective=1455571.107500, note=checkpoint
generation=387, runtime=2428.55s, best_objective=1455571.107500, note=checkpoint
generation=388, runtime=2434.79s, best_objective=1455571.107500, note=checkpoint
